pokedex_number,name,generation,genus,type1,type2,height_m,weight_kg,hp,attack,defense,special-attack,special-defense,speed,abilities,evolves_from,entry_red,entry_blue,entry_gold,entry_ruby,entry_diamond,entry_black,entry_x,entry_sun,entry_sword,entry_scarlet
185,Sudowoodo,II,Imitation Pokémon,Rock,,1.2,38.0,70,100,115,30,65,30,"Sturdy, Rock Head, Rattled",Bonsly,,,"Although it always pretends to be a tree, its composi­ tion appears to be closer to a rock than a plant.","SUDOWOODO camouflages itself as a tree to avoid being attacked by enemies. However, because the forelegs remain green throughout the year, the POKéMON is easily identified as a fake during the winter.","Despite appearing to be a tree, its body is closer to rocks and stones. It is very weak to water.","To avoid being attacked, it does nothing but mimic a tree. It hates water and flees from rain.","Although it always pretends to be a tree, its composition appears more similar to rock than to vegetation.","To avoid attack, it mimics a tree. It will run off if splashed with water, which it hates.","If a tree branch shakes when there is no wind, it’s a Sudowoodo, not a tree. It hides from the rain.",
186,Politoed,II,Frog Pokémon,Water,,1.1,33.9,90,75,75,90,100,70,"Water Absorb, Damp, Drizzle",Poliwhirl,,,"If POLIWAG and POLIWHIRL hear its echoing cry, they respond by gather­ ing from far and wide.","The curled hair on POLITOED’s head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this POKéMON earns from its peers.",It gathers groups of others as their leader. Its cries make POLIWAG obey.,It gathers groups of others as their leader. Its cries make Poliwag obey.,"Whenever three or more of these get together, they sing in a loud voice that sounds like bellowing.","They gather on moonlit nights to form a large chorus. Their cries sound angry and not at all pleasant, but they are certainly distinctive.","At nightfall, these Pokémon appear on the shores of lakes. They announce their territorial claims by letting out cries that sound like shouting.",
187,Hoppip,II,Cottonweed Pokémon,Grass,Flying,0.4,0.5,35,35,40,35,55,50,"Chlorophyll, Leaf Guard, Infiltrator",,,,"To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though.","This POKéMON drifts and floats with the wind. If it senses the approach of strong winds, HOPPIP links its leaves with other HOPPIP to prepare against being blown away.","It drifts on winds. It is said that when HOPPIP gather in fields and mountains, spring is on the way.","It drifts on winds. It is said that when Hoppip gather in fields and mountains, spring is on the way.","Its body is so light, it must grip the ground firmly with its feet to keep from being blown away.",,,
188,Skiploom,II,Cottonweed Pokémon,Grass,Flying,0.6,1.0,55,45,50,45,65,80,"Chlorophyll, Leaf Guard, Infiltrator",Hoppip,,,The bloom on top of its head opens and closes as the temperature fluc­ tuates up and down.,"SKIPLOOM’s flower blossoms when the temperature rises above 64 degrees F. How much the flower opens depends on the temperature. For that reason, this POKéMON is sometimes used as a thermometer.",It blooms when the weather warms. It floats in the sky to soak up as much sunlight as possible.,It blooms when the weather warms. It floats in the sky to soak up as much sunlight as possible.,The bloom on top of its head opens and closes as the temperature fluctuates up and down.,,,
189,Jumpluff,II,Cottonweed Pokémon,Grass,Flying,0.8,3.0,75,55,70,55,95,110,"Chlorophyll, Leaf Guard, Infiltrator",Skiploom,,,"Once it catches the wind, it deft­ ly controls its cotton-puff spores to float, even around the world.",JUMPLUFF rides warm southern winds to cross the sea and fly to foreign lands. The POKéMON descends to the ground when it encounters cold air while it is floating.,"Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes.","Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes.","Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes.",,,
190,Aipom,II,Long Tail Pokémon,Normal,,0.8,11.5,55,70,55,40,55,85,"Run Away, Pickup, Skill Link",,,,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.,"AIPOM’s tail ends in a hand-like appendage that can be cleverly manipulated. However, because the POKéMON uses its tail so much, its real hands have become rather clumsy.",It uses its tail to pluck fruits that are out of reach. Its tail is more adept than its real hands.,It lives high among the treetops. It can use its tail as freely and cleverly as its hands.,"It lives atop tall trees. When leaping from branch to branch, it deftly uses its tail for balance.",,,
191,Sunkern,II,Seed Pokémon,Grass,,0.3,1.8,30,30,30,30,30,30,"Chlorophyll, Solar Power, Early Bird",,,,"It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves.","SUNKERN tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing,  subsisting only on morning dew.","It suddenly falls out of the sky in the morning. A year after a cold summer, their population explodes.","It suddenly falls out of the sky in the morning. A year after a cold summer, their population explodes.","It may plummet from the sky. If attacked by a Spearow, it will violently shake its leaves.",,,
192,Sunflora,II,Sun Pokémon,Grass,,0.8,8.5,75,75,55,105,85,30,"Chlorophyll, Solar Power, Early Bird",Sunkern,,,"It converts sun­ light into energy. In the darkness after sunset, it closes its petals and becomes still.",SUNFLORA converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,It gets energy from warm sunlight and is known for its habit of moving in pursuit of it.,It gets energy from warm sunlight and is known for its habit of moving in pursuit of it.,"As the hot season approaches, the petals on this Pokémon’s face become more vivid and lively.",,,
193,Yanma,II,Clear Wing Pokémon,Bug,Flying,1.2,38.0,65,65,45,75,45,95,"Speed Boost, Compound Eyes, Frisk",,,,"If it flaps its wings really fast, it can generate shock waves that will shatter win­ dows in the area.",YANMA is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This POKéMON uses its flying ability to quickly chase down targeted prey.,Its eyes can see 360 degrees without moving its head. It won’t miss prey--even those behind it.,It can hover in one spot by flapping its wings at high speed. It flits about to guard its territory.,Its eyes can see 360 degrees without moving its head. It won’t miss prey--even those behind it.,,,
194,Wooper,II,Water Fish Pokémon,Water,Ground,0.4,8.5,55,45,45,25,25,15,"Damp, Water Absorb, Unaware",,,,This POKéMON lives in cold water. It will leave the water to search for food when it gets cold outside.,"WOOPER usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film.","It lives in cold water, half burying itself in mud at the bottom to sleep.","When walking on land, it covers its body with a poisonous film that keeps its skin from dehydrating.",This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.,,This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.,
195,Quagsire,II,Water Fish Pokémon,Water,Ground,1.4,75.0,95,85,85,65,65,35,"Damp, Water Absorb, Unaware",Wooper,,,"This carefree POKéMON has an easy-going nature. While swimming, it always bumps into boat hulls.","QUAGSIRE hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the POKéMON does not move, it does not get very hungry.","It has a sluggish nature. It lies at the river’s bottom, waiting for prey to stray into its mouth.",It has an easygoing nature. It doesn’t care if it bumps its head on boats and boulders while swimming.,"It has a sluggish nature. It lies at the river’s bottom, waiting for prey to stray into its mouth.",,It has an easygoing nature. It doesn’t care if it bumps its head on boats and boulders while swimming.,
196,Espeon,II,Sun Pokémon,Psychic,,0.9,26.5,65,65,60,130,95,110,"Synchronize, Magic Bounce",Eevee,,,It uses the fine hair that covers its body to sense air currents and predict its ene­ my's actions.,ESPEON is extremely loyal to any TRAINER it considers to be worthy. It is said that this POKéMON developed its precognitive powers to protect its TRAINER from harm.,Its fur has the look and feel of velvet. The orb on its forehead glows when it uses psycho-power.,"Its fur is so sensitive, it can sense minute shifts in the air and predict the weather.",The tip of its forked tail quivers when it is predicting its opponent’s next move.,It can instantaneously sense its opponent’s movements by feeling air currents with its fine fur.,"By reading air currents, it can predict things such as the weather or its foe’s next move.",
197,Umbreon,II,Moonlight Pokémon,Dark,,1.0,27.0,95,65,110,60,130,65,"Synchronize, Inner Focus",Eevee,,,"When agitated, this POKéMON pro­ tects itself by spraying poisonous sweat from its pores.",UMBREON evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.,The light of the moon changed EEVEE’s genetic structure. It lurks in darkness for prey.,"When exposed to the moon’s aura, the rings on its body glow faintly and it gains a mysterious power.",The light of the moon changed Eevee’s genetic structure. It lurks in darkness for prey.,"When this Pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes.","When this Pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes.",
